pickup_ca,population,median_income,cluster_label,rideshare_trip_count,taxi_trip_count,rideshare_trips_per_1000,taxi_trips_per_1000,access_gap_trips_per_1000,foregone_trips_month,foregone_trips_year
33,26307,151861.52291105123,Affluent / low deprivation,93923.0,5157.0,3570.266469000646,196.03147451248716,0.0,0.0,0.0
41,24092,133698.2675649663,Affluent / low deprivation,113562.0,711.0,4713.680889921966,29.51187116055122,0.0,0.0,0.0
56,36265,106307.82169890664,Affluent / low deprivation,39854.0,728.0,1098.9659451261546,20.074451950916863,1081.0340548738454,39203.700000000004,470444.4
60,33012,84026.92778457773,Affluent / low deprivation,9835.0,80.0,297.92196776929603,2.423361201987156,1882.078032230704,62131.159999999996,745573.9199999999
72,19811,140806.4516129032,Affluent / low deprivation,1122.0,33.0,56.63520266518601,1.665741254858412,2123.364797334814,42065.979999999996,504791.75999999995
74,19107,140498.20466786355,Affluent / low deprivation,493.0,1.0,25.802062071492124,0.052336839901606744,2154.197937928508,41160.26,493923.12
76,16281,79963.06555863342,Affluent / low deprivation,122109.0,3870.0,7500.092131932928,237.7003869541183,0.0,0.0,0.0
77,47484,112903.2258064516,Affluent / low deprivation,52148.0,2039.0,1098.2225591778283,42.940780052228114,1081.7774408221717,51367.119999999995,616405.44
26,16345,42435.89743589744,High poverty / transit deserts,4425.0,50.0,270.72499235240133,3.059039461609055,1909.2750076475986,31207.1,374485.19999999995
27,19855,40293.98563734291,High poverty / transit deserts,8637.0,86.0,435.00377738604885,4.3314026693528085,1744.9962226139512,34646.9,415762.80000000005
29,30355,49414.8244473342,High poverty / transit deserts,18705.0,51.0,616.2082029319716,1.6801185966068193,1563.7917970680282,47468.899999999994,569626.7999999999
36,4373,42434.21052631579,High poverty / transit deserts,3017.0,268.0,689.9153898925223,61.285158929796474,1490.0846101074776,6516.139999999999,78193.68
37,2186,31415.929203539825,High poverty / transit deserts,1268.0,353.0,580.0548947849954,161.4821591948765,1599.9451052150046,3497.48,41969.76
40,12362,32548.81450488145,High poverty / transit deserts,7391.0,126.0,597.8806018443618,10.192525481313703,1582.1193981556382,19558.16,234697.91999999998
51,15100,47613.365155131265,High poverty / transit deserts,4327.0,154.0,286.55629139072846,10.198675496688741,1893.4437086092717,28591.000000000004,343092.00000000006
54,7740,24158.031088082902,High poverty / transit deserts,1928.0,87.0,249.09560723514213,11.24031007751938,1930.904392764858,14945.2,179342.40000000002
67,25971,42627.49445676275,High poverty / transit deserts,3452.0,52.0,132.91748488698934,2.0022332601748105,2047.0825151130107,53164.78,637977.36
68,21337,40259.09810126582,High poverty / transit deserts,10477.0,232.0,491.0249800815485,10.873131180578339,1688.9750199184514,36037.659999999996,432451.9199999999
69,29052,45911.28117913832,High poverty / transit deserts,15288.0,537.0,526.2288310615448,18.484097480380008,1653.771168938455,48045.36,576544.3200000001
25,100278,52715.27777777778,Mixed / higher deprivation,31379.0,110.0,312.920082171563,1.0969504776720715,1867.079917828437,187227.04,2246724.48
34,13149,53547.2972972973,Mixed / higher deprivation,15255.0,360.0,1160.1642710472279,27.378507871321013,1019.8357289527721,13409.820000000002,160917.84000000003
35,18629,60313.68821292776,Mixed / higher deprivation,15634.0,845.0,839.2291588383703,45.35938590369854,1340.7708411616297,24977.22,299726.64
38,24808,78378.37837837837,Mixed / higher deprivation,11690.0,706.0,471.21896162528213,28.458561754272814,1708.7810383747178,42391.439999999995,508697.2799999999
39,14368,110758.51393188855,Mixed / higher deprivation,14196.0,517.0,988.0289532293987,35.98273942093541,1191.9710467706013,17126.239999999998,205514.87999999998
42,24437,51688.102893890675,Mixed / higher deprivation,31231.0,246.0,1278.0210336784382,10.06670213201293,901.9789663215618,22041.660000000003,264499.92000000004
43,46276,54915.229030339084,Mixed / higher deprivation,24814.0,354.0,536.2174777422422,7.649753652001037,1643.7825222577578,76067.68,912812.1599999999
44,31440,58377.65957446808,Mixed / higher deprivation,19118.0,674.0,608.0788804071246,21.43765903307888,1571.9211195928754,49421.2,593054.3999999999
45,9492,70891.85393258427,Mixed / higher deprivation,4214.0,46.0,443.952802359882,4.846186262115466,1736.047197640118,16478.56,197742.72000000003
46,29072,53835.22727272727,Mixed / higher deprivation,5626.0,52.0,193.51953769950467,1.7886626307099616,1986.4804623004952,57750.96,693011.52
47,2229,81250.0,Mixed / higher deprivation,1204.0,29.0,540.1525347689546,13.01031852848811,1639.8474652310454,3655.22,43862.64
48,12078,94784.76821192053,Mixed / higher deprivation,2384.0,78.0,197.38367279350885,6.458022851465475,1982.6163272064912,23946.04,287352.48
49,37660,59626.540971718634,Mixed / higher deprivation,11638.0,390.0,309.028146574615,10.355815188528943,1870.971853425385,70460.8,845529.6000000001
50,6851,66437.8612716763,Mixed / higher deprivation,4365.0,193.0,637.1332652167567,28.171069916800466,1542.8667347832434,10570.18,126842.16
53,25159,60367.64705882353,Mixed / higher deprivation,4353.0,328.0,173.019595373425,13.037084144838825,2006.980404626575,50493.619999999995,605923.44
71,46483,55119.34673366834,Mixed / higher deprivation,14606.0,98.0,314.22240388959403,2.1082976572080114,1865.777596110406,86726.94,1040723.28
73,26310,80695.67627494456,Mixed / higher deprivation,6122.0,232.0,232.68719118206005,8.817939946788293,1947.3128088179399,51233.799999999996,614805.6
75,21288,93135.59322033898,Mixed / higher deprivation,4599.0,247.0,216.03720405862458,11.602780909432544,1963.9627959413754,41808.840000000004,501706.0800000001
14,47830,82578.05724197745,Mixed / lower deprivation,15530.0,173.0,324.69161614049756,3.616976792807861,1855.3083838595026,88739.40000000001,1064872.8
18,13755,94044.74002418379,Mixed / lower deprivation,2342.0,7.0,170.2653580516176,0.5089058524173028,2009.7346419483824,27643.899999999998,331726.8
19,73988,72641.04256021115,Mixed / lower deprivation,13176.0,25.0,178.08293236741093,0.33789263123749796,2001.9170676325891,148117.84,1777414.08
20,23200,70148.8706365503,Mixed / lower deprivation,4607.0,6.0,198.57758620689657,0.25862068965517243,1981.4224137931035,45969.0,551628.0
21,36350,101057.35805330244,Mixed / lower deprivation,35742.0,262.0,983.2737276478679,7.207702888583219,1196.7262723521321,43501.0,522012.0
23,55015,57171.352583586624,Mixed / lower deprivation,22152.0,61.0,402.653821684995,1.108788512223939,1777.346178315005,97780.7,1173368.4
30,69554,47753.456221198154,Mixed / lower deprivation,8449.0,32.0,121.47396267648159,0.46007418696264774,2058.5260373235183,143178.71999999997,1718144.6399999997
31,34177,73097.82608695651,Mixed / lower deprivation,36730.0,146.0,1074.6993592181877,4.271878748866197,1105.3006407818123,37775.85999999999,453310.31999999995
52,23629,67421.74629324547,Mixed / lower deprivation,116.0,14.0,4.9092217190740195,0.5924922764399678,2175.090778280926,51395.22,616742.64
55,8895,82500.0,Mixed / lower deprivation,336.0,42.0,37.77403035413154,4.7217537942664425,2142.2259696458686,19055.100000000002,228661.2
57,13875,78710.69182389937,Mixed / lower deprivation,2197.0,24.0,158.34234234234233,1.7297297297297296,2021.6576576576576,28050.499999999996,336605.99999999994
58,42360,58661.990471148754,Mixed / lower deprivation,5239.0,51.0,123.67799811142588,1.2039660056657224,2056.322001888574,87105.79999999999,1045269.5999999999
59,15400,75577.66367137355,Mixed / lower deprivation,3788.0,247.0,245.97402597402598,16.03896103896104,1934.025974025974,29784.0,357408.0
61,40843,50750.69832402235,Mixed / lower deprivation,5722.0,91.0,140.09744631883063,2.2280439732634725,2039.9025536811694,83315.74,999788.8800000001
62,18201,75842.69662921349,Mixed / lower deprivation,1494.0,10.0,82.08340201087852,0.5494203615185979,2097.9165979891213,38184.18,458210.16000000003
63,34650,61030.34134007586,Mixed / lower deprivation,3454.0,10.0,99.68253968253968,0.2886002886002886,2080.3174603174602,72083.0,864996.0
64,24710,93366.12999403696,Mixed / lower deprivation,763.0,14.0,30.878186968838524,0.56657223796034,2149.1218130311613,53104.79999999999,637257.5999999999
65,32451,80238.34468308014,Mixed / lower deprivation,3209.0,10.0,98.88755354226372,0.3081569135003544,2081.1124464577365,67534.18000000001,810410.1600000001
66,52245,55889.10133843212,Mixed / lower deprivation,9107.0,23.0,174.31333141927456,0.4402335151689157,2005.6866685807254,104787.09999999999,1257445.2
70,42842,88404.11413404114,Mixed / lower deprivation,3997.0,22.0,93.29629802530228,0.5135147752205779,2086.7037019746977,89398.55999999998,1072782.7199999997
